
Vendor	SKU	Preferred_Name	GeneName
Abcam	AB102672	Q9H244	Spta1
Abcam	AB102672	Q9CPV9	RPP21
Abcam	AB102672	Q9EPX4	PANK3
Abcam	AB135356	Q96MY1	Tspan4
Abcam	AB135356	Q6DIB4	TROAP
Abcam	AB94603	P11309	NR5A2
Abcam	AB94603	P06803	HOPX
Abcam	AB94603	P26794	Hopx
Abcam	AB200567	Q9H0G5	AP5M1
Abcam	AB116145	Q8NDT2	Igf1r
Abcam	AB116145	Q6PHZ5	SFTPD
Abcam	AB68554	Q9UBS5	ARID2
Abcam	AB68554	Q9WV18	AGO2
Abcam	AB68554	Q9Z0U4	SLC35E1
Abcam	AB197986	Q92506	ANKRD28
Abcam	AB197986	P50171	PANX1
Abcam	AB197986	Q6MGB5	TNFAIP3
Abcam	AB108050	Q70CQ1	NOXO1
Abcam	AB108050	Q6P9L4	Noxo1
Abcam	AB6992	P29279	CTDP1
Abcam	AB6992	P29268	CEP95
Abcam	AB6992	Q9R1E9	Cep95
Abcam	AB135757	Q9HC62	Khsrp
Abcam	AB135757	Q91ZX6	Khsrp
Abgent	AP16760B	Q9UBN4-2	Hspa1l
Abgent	AP16760B	Q9UBN4-4	Hspa2
Abgent	AP16760B	Q9UBN4	Hspa8
Abgent	AP6876A	B1AK53	ELOVL7
Abgent	AP6876A	Q63618	PTPRR
Abgent	AP14658B	O14867	MNX1
Abgent	AP11705C	P17275	Irs2
Abgent	AP11705C	Q5U079	ZNF404
Abgent	AP11705C	P09450	Wee1
Abgent	AP11705C	P24898	FXYD7
Abnova	H00007158-M01	Q12888	NR1D2
Abnova	H00007158-M01	H7C3N7	NR1D2
Abnova	H00007158-M01	A6NNK5	NR1D2
Abnova	H00007158-M01	H7C495	NR1D2
Abnova	H00007158-M01	M0R142	NR1D2
Abnova	H00007158-M01	H7BZY0	NR1D2
Abnova	H00007158-M01	H7C151	Nr1d2
Abnova	H00007158-M01	C9JXV0	Nr1d2
Abnova	H00007158-M01	Q3YL84	Nr1d2
Abnova	H00007158-M01	P70399	Nr1d2
Abnova	H00007158-M01	F1M842	Nr1d2
Abnova	H00007158-M01	A0A1L1QZJ1	Nr1d2
Abnova	H00007158-M01	E7F2M6	Nr1d2
Abnova	H00007158-M01	F1RBE6	Nr1d2
Abnova	H00007158-M01	A1L1W2	Nr1d2
Abnova	H00007158-M01	Q12888-3	Nr1d2
Abnova	H00007158-M01	Q12888-2	Nr1d2
Abnova	H00007158-M01	Q12888-1	irs1
Abnova	H00007158-M01	P70399-1	IRS1
Abnova	PAB23135	F1NT80	THRA
Abnova	PAB23135	Q8NBU5	THRA
Abnova	PAB23135	B4E2J1	THRA
Abnova	PAB23135	Q9D5T0	THRA
Abnova	PAB23135	Q9D9C1	Thra
Abnova	PAB23135	Q505J9	Thra
Abnova	PAB23135	Q7TP35	Thra
Abnova	PAB23135	A0A0H2UHI7	Thra
Abnova	PAB23135	Q8NBU5-1	Thra
Abnova	H00000637-M03	Q8JGM8	Tmem9b
Abnova	H00000637-M03	A0A140T8G9	Tmem9b
Abnova	H00000637-M03	A0A1D5P8E8	Tmem9b
Abnova	H00000637-M03	P55957	Tmem9b
Abnova	H00000637-M03	B2ZP79	Tmem9b
Abnova	H00000637-M03	B2ZP78	Tmem9b
Abnova	H00000637-M03	A8ASI8	tmem9b
Abnova	H00000637-M03	P70444	tmem9b
Abnova	H00000637-M03	D3Z463	tmem9b
Abnova	H00000637-M03	Q9JLT6	TMEM9B
Abnova	H00000637-M03	A8ASI9	TMEM9B
Abnova	H00000637-M03	P55957-1	DRAP1
Abnova	H00000637-M03	P55957-4	DRAP1
Abnova	H00000637-M03	P55957-2	DRAP1
Abnova	H00000637-M03	P55957-3	DRAP1
Abnova	H00008724-M10	Q5ZIA3	STAU2
Abnova	H00008724-M10	A0A1D5PN53	STAU2
Abnova	H00008724-M10	Q9VG51	STAU2
Abnova	H00008724-M10	O94291	STAU2
Abnova	H00008724-M10	O60493	STAU2
Abnova	H00008724-M10	O70492	STAU2
Abnova	H00008724-M10	Q78ZM0	STAU2
Abnova	H00008724-M10	D3Z789	STAU2
Abnova	H00008724-M10	D3Z6Z0	STAU2
Abnova	H00008724-M10	Q9CSC2	STAU2
Abnova	H00008724-M10	Q9CU14	STAU2
Abnova	H00008724-M10	Q5U211	STAU2
Abnova	H00008724-M10	Q08826	STAU2
Abnova	H00008724-M10	Q3B7E7	STAU2
Abnova	H00008724-M10	A0A0R4IDU3	STAU2
Abnova	H00008724-M10	B0S7S4	STAU2
Abnova	H00008724-M10	O60493-4	STAU2
Abnova	H00008724-M10	O60493-1	STAU2
Abnova	H00008724-M10	O60493-2	STAU2
Abnova	H00008724-M10	O60493-3	STAU2
Abnova	H00009136-M01A	O43818	Capn11
Abnova	H00009136-M01A	Q91WM3	Capn11
Abnova	H00009136-M01A	A0A087WS95	MAGEB10
Abnova	H00009136-M01A	B0BND5	COX7A2
Abnova	H00009136-M01A	Q06506	COX7A2
Abnova	H00009136-M01A	Q803S2	COX7A2
Abnova	H00009136-M01A	F1R3Q7	COX7A2
Abnova	H00085397-B01	R4GJB7	Tnnc1
Abnova	H00085397-B01	P57771	mll
Abnova	H00085397-B01	D6RD36	mll
Abnova	H00085397-B01	Q8BXT1	MLL
Abnova	H00085397-B01	D3Z289	MLL
Abnova	H00085397-B01	D3Z1V2	MLL
Abnova	H00085397-B01	D3YYE5	MLL
Abnova	H00085397-B01	D3YX00	MLL
Abnova	H00085397-B01	Q9D389	NPM3
Abnova	H00085397-B01	D3Z5I4	NPM3
Abnova	H00085397-B01	P49804	Npm3
Abnova	H00085397-B01	A0A0G2K6Y1	Npm3
Abnova	H00085397-B01	Q6DGI0	Npm3
Abnova	H00085397-B01	B2GTH3	npm3
Abnova	H00085397-B01	F1R249	npm3
Abnova	H00085397-B01	P57771-1	npm3
Abnova	H00085397-B01	P57771-2	SUDS3
Abnova	H00146225-B01P	Q8TAZ6	SHQ1
Abnova	H00146225-B01P	H3BMC0	shq1
Abnova	H00146225-B01P	Q8TAZ6-2	shq1
Abnova	H00146225-B01P	Q8TAZ6-1	SHQ1
Abnova	H00169841-A01	Q14929	GGT5
Abnova	H00169841-A01	Q7Z761	Ggt5
Abnova	H00169841-A01	Q6PJ92	Ggt5
Abnova	H00169841-A01	Q5SR55	Ggt5
Abnova	H00169841-A01	S4R440	Ggt5
Abnova	H00169841-A01	Q14928	Ggt5
Abnova	H00169841-A01	Q6PIG1	Ggt5
Abnova	H00009463-A01	A0A1D5P5B8	COX1
Abnova	H00009463-A01	Q86PF5	COX1
Abnova	H00009463-A01	Q8SY07	COX1
Abnova	H00009463-A01	X2JDZ1	COX1
Abnova	H00009463-A01	Q9NRD5	COX1
Abnova	H00009463-A01	A0A024R1J5	COX1
Abnova	H00009463-A01	E7EX80	COX1
Abnova	H00009463-A01	F6V3V1	COX1
Abnova	H00009463-A01	F6TII1	COX1
Abnova	H00009463-A01	F6VY12	COX1
Abnova	H00009463-A01	A0A024R1R7	COX1
Abnova	H00009463-A01	F6V107	COX1
Abnova	H00009463-A01	Q62083	COX1
Abnova	H00009463-A01	E9PUZ5	COX1
Abnova	H00009463-A01	Q80VC8	COX1
Abnova	H00009463-A01	E9QAC6	COX1
Abnova	H00009463-A01	Q8C1W2	COX1
Abnova	H00009463-A01	Q9EP80	COX1
Abnova	H00009463-A01	Q6GQQ2	COX1
Abnova	H00009463-A01	Q08BM4	COX1
Abnova	H00009463-A01	F1Q8Q4	COX1
Abnova	H00009463-A01	Q9NRD5-1	COX1
Abnova	MAB1549	P21611	mafa
Abnova	MAB1549	P61769	mafa
Abnova	MAB1549	F5H6I0	mafa
Abnova	MAB1549	J3KNU0	CRIM1
Abnova	MAB1549	Q16446	CRIM1
Abnova	MAB1549	H0YLF3	CRIM1
